n,max_N,min_M
7533,22600,1025975
7534,25432,1023143
7535,85840,962735
7536,9232,1039343
7537,22612,1025963
7538,39364,1009211
7539,39364,1009211
7540,9232,1039343
7541,22624,1025951
7542,39364,1009211
7543,50920,997655
7544,9556,1039019
7545,96712,951863
7546,11320,1037255
7547,103336,945239
7548,28672,1019903
7549,28672,1019903
7550,86020,962555
7551,258064,790511
7552,7552,1041023
7553,22660,1025915
7554,11332,1037243
7555,34000,1014575
7556,8080,1040495
7557,22672,1025903
7558,17008,1031567
7559,51028,997547
7560,7560,1041015
7561,43072,1005503
7562,11344,1037231
7563,34036,1014539
7564,8512,1040063
7565,22696,1025879
7566,25540,1023035
7567,76624,971951
7568,7568,1041007
7569,22708,1025867
7570,19168,1029407
7571,34072,1014503
7572,7572,1041003
7573,22720,1025855
7574,17044,1031531
7575,51136,997439
7576,7576,1040999
7577,25576,1022999
7578,11368,1037207
7579,599056,449519
7580,138400,910175
7581,138400,910175
7582,138400,910175
7583,145780,902795
7584,7584,1040991
7585,22756,1025819
7586,11380,1037195
7587,34144,1014431
7588,14416,1034159
7589,22768,1025807
7590,17080,1031495
7591,57652,990923
7592,7592,1040983
7593,129760,918815
7594,11392,1037183
7595,34180,1014395
7596,8548,1040027
7597,22792,1025783
7598,25648,1022927
7599,76948,971627
7600,7600,1040975
7601,22804,1025771
7602,12832,1035743
7603,34216,1014359
7604,7604,1040971
7605,22816,1025759
7606,61720,986855
7607,61720,986855
7608,7608,1040967
7609,25684,1022891
7610,11416,1037159
7611,38536,1010039
7612,21688,1026887
7613,22840,1025735
7614,57832,990743
7615,494080,554495
7616,7616,1040959
7617,22852,1025723
7618,32560,1016015
7619,34288,1014287
7620,7620,1040955
7621,22864,1025711
7622,17152,1031423
7623,51460,997115
7624,7624,1040951
7625,38608,1009967
7626,11440,1037135
7627,34324,1014251
7628,8584,1039991
7629,22888,1025687
7630,48904,999671
7631,77272,971303
7632,7632,1040943
7633,22900,1025675
7634,28996,1019579
7635,34360,1014215
7636,7636,1040939
7637,22912,1025663
7638,21760,1026815
7639,51568,997007
7640,7640,1040935
7641,25792,1022783
7642,11464,1037111
7643,58048,990527
7644,12904,1035671
7645,22936,1025639
7646,98008,950567
7647,116152,932423
7648,9232,1039343
7649,176740,871835
7650,11476,1037099
7651,34432,1014143
7652,39364,1009211
7653,39364,1009211
7654,39364,1009211
7655,87208,961367
7656,9232,1039343
7657,65428,983147
7658,11488,1037087
7659,209680,838895
7660,1276936,197285
7661,1276936,197285
7662,1276936,197285
7663,314656,733919
7664,9232,1039343
7665,22996,1025579
7666,14560,1034015
7667,34504,1014071
7668,9232,1039343
7669,23008,1025567
7670,32776,1015799
7671,51784,996791
7672,41524,1007051
7673,29140,1019435
7674,41524,1007051
7675,43720,1004855
7676,65608,982967
7677,65608,982967
7678,897856,150719
7679,897856,150719
7680,7680,1040895
7681,83104,965471
7682,11524,1037051
7683,34576,1013999
7684,9232,1039343
7685,23056,1025519
7686,17296,1031279
7687,51892,996683
7688,7688,1040887
7689,38932,1009643
7690,11536,1037039
7691,34612,1013963
7692,8656,1039919
7693,23080,1025495
7694,25972,1022603
7695,77920,970655
7696,7696,1040879
7697,23092,1025483
7698,24676,1023899
7699,34648,1013927
7700,7700,1040875
7701,23104,1025471
7702,17332,1031243
7703,52000,996575
7704,7704,1040871
7705,26008,1022567
7706,11560,1037015
7707,166696,881879
7708,13012,1035563
7709,23128,1025447
7710,39040,1009535
7711,117124,931451
7712,7712,1040863
7713,23140,1025435
7714,11572,1037003
7715,34720,1013855
7716,10996,1037579
7717,23152,1025423
7718,17368,1031207
7719,58624,989951
7720,7720,1040855
7721,250504,798071
7722,11584,1036991
7723,34756,1013819
7724,9232,1039343
7725,23176,1025399
7726,26080,1022495
7727,237976,810599
7728,7728,1040847
7729,24784,1023791
7730,24784,1023791
7731,34792,1013783
7732,7732,1040843
7733,23200,1025375
7734,223072,825503
7735,223072,825503
7736,9232,1039343
7737,26116,1022459
7738,11608,1036967
7739,39184,1009391
7740,19600,1028975
7741,23224,1025351
7742,58804,989771
7743,176416,872159
7744,9232,1039343
7745,23236,1025339
7746,11620,1036955
7747,34864,1013711
7748,7748,1040827
7749,23248,1025327
7750,17440,1031135
7751,55888,992687
7752,7752,1040823
7753,39256,1009319
7754,11632,1036943
7755,34900,1013675
7756,8728,1039847
7757,23272,1025303
7758,29464,1019111
7759,78568,970007
7760,9232,1039343
7761,23284,1025291
7762,44224,1004351
7763,44224,1004351
7764,9232,1039343
7765,23296,1025279
7766,17476,1031099
7767,52432,996143
7768,7768,1040807
7769,95956,952619
7770,11656,1036919
7771,95956,952619
7772,13120,1035455
7773,23320,1025255
7774,39364,1009211
7775,118096,930479
7776,9232,1039343
7777,29536,1019039
7778,11668,1036907
7779,35008,1013567
7780,7780,1040795
7781,23344,1025231
7782,17512,1031063
7783,133000,915575
7784,9232,1039343
7785,250504,798071
7786,11680,1036895
7787,94768,953807
7788,22192,1026383
7789,23368,1025207
7790,26296,1022279
7791,88756,959819
7792,9232,1039343
7793,23380,1025195
7794,13156,1035419
7795,35080,1013495
7796,9232,1039343
7797,23392,1025183
7798,19744,1028831
7799,52648,995927
7800,9880,1038695
7801,44440,1004135
7802,11704,1036871
7803,39508,1009067
7804,33352,1015223
7805,33352,1015223
7806,88936,959639
