n0,L,steps_to_1,max_N,max_M,theorem_ok,avg_H_N,avg_H_M,avg_H_diff,avg_ham_dist,final_M_at_N1
181,20,18,544,1048574,True,0.461197,0.461197,0.000000,20.000000,1048574
182,20,93,9232,1048574,True,0.758079,0.758079,0.000000,20.000000,1048574
183,20,93,9232,1048574,True,0.762698,0.762698,0.000000,20.000000,1048574
184,20,18,184,1048574,True,0.515643,0.515643,0.000000,20.000000,1048574
185,20,44,628,1048574,True,0.618333,0.618333,0.000000,20.000000,1048574
186,20,18,280,1048574,True,0.513249,0.513249,0.000000,20.000000,1048574
187,20,44,952,1048574,True,0.644639,0.644639,0.000000,20.000000,1048574
188,20,106,9232,1048574,True,0.759107,0.759107,0.000000,20.000000,1048574
189,20,106,9232,1048574,True,0.758091,0.758091,0.000000,20.000000,1048574
190,20,106,9232,1048574,True,0.766798,0.766798,0.000000,20.000000,1048574
191,20,44,4372,1048574,True,0.674011,0.674011,0.000000,20.000000,1048574
192,20,13,192,1048574,True,0.403782,0.403782,0.000000,20.000000,1048574
193,20,119,9232,1048574,True,0.751330,0.751330,0.000000,20.000000,1048574
194,20,119,9232,1048574,True,0.756043,0.756043,0.000000,20.000000,1048574
195,20,119,9232,1048574,True,0.762203,0.762203,0.000000,20.000000,1048574
196,20,26,196,1048574,True,0.518645,0.518645,0.000000,20.000000,1048574
197,20,26,592,1048574,True,0.522796,0.522796,0.000000,20.000000,1048574
198,20,26,448,1048574,True,0.535250,0.535250,0.000000,20.000000,1048574
199,20,119,9232,1048574,True,0.772131,0.772131,0.000000,20.000000,1048574
200,20,26,200,1048574,True,0.526947,0.526947,0.000000,20.000000,1048574
201,20,18,1024,1048574,True,0.502697,0.502697,0.000000,20.000000,1048574
202,20,26,304,1048574,True,0.535250,0.535250,0.000000,20.000000,1048574
203,20,39,916,1048574,True,0.581000,0.581000,0.000000,20.000000,1048574
204,20,26,232,1048574,True,0.556007,0.556007,0.000000,20.000000,1048574
205,20,26,616,1048574,True,0.559316,0.559316,0.000000,20.000000,1048574
206,20,88,9232,1048574,True,0.759617,0.759617,0.000000,20.000000,1048574
207,20,88,9232,1048574,True,0.761942,0.761942,0.000000,20.000000,1048574
208,20,13,208,1048574,True,0.454083,0.454083,0.000000,20.000000,1048574
209,20,39,628,1048574,True,0.603150,0.603150,0.000000,20.000000,1048574
210,20,39,808,1048574,True,0.615057,0.615057,0.000000,20.000000,1048574
211,20,39,952,1048574,True,0.626526,0.626526,0.000000,20.000000,1048574
212,20,13,212,1048574,True,0.457982,0.457982,0.000000,20.000000,1048574
213,20,13,640,1048574,True,0.428231,0.428231,0.000000,20.000000,1048574
214,20,101,9232,1048574,True,0.758302,0.758302,0.000000,20.000000,1048574
215,20,101,9232,1048574,True,0.762559,0.762559,0.000000,20.000000,1048574
216,20,114,9232,1048574,True,0.756125,0.756125,0.000000,20.000000,1048574
217,20,26,736,1048574,True,0.591878,0.591878,0.000000,20.000000,1048574
218,20,114,9232,1048574,True,0.755730,0.755730,0.000000,20.000000,1048574
219,20,52,1672,1048574,True,0.656685,0.656685,0.000000,20.000000,1048574
220,20,114,9232,1048574,True,0.762400,0.762400,0.000000,20.000000,1048574
221,20,114,9232,1048574,True,0.761455,0.761455,0.000000,20.000000,1048574
222,20,70,9232,1048574,True,0.745379,0.745379,0.000000,20.000000,1048574
223,20,70,9232,1048574,True,0.751606,0.751606,0.000000,20.000000,1048574
224,20,21,224,1048574,True,0.497918,0.497918,0.000000,20.000000,1048574
225,20,52,4372,1048574,True,0.697254,0.697254,0.000000,20.000000,1048574
226,20,13,340,1048574,True,0.441944,0.441944,0.000000,20.000000,1048574
227,20,13,1024,1048574,True,0.398871,0.398871,0.000000,20.000000,1048574
228,20,34,228,1048574,True,0.550656,0.550656,0.000000,20.000000,1048574
229,20,34,688,1048574,True,0.553209,0.553209,0.000000,20.000000,1048574
230,20,34,520,1048574,True,0.546414,0.546414,0.000000,20.000000,1048574
231,20,127,9232,1048574,True,0.767254,0.767254,0.000000,20.000000,1048574
232,20,21,232,1048574,True,0.518298,0.518298,0.000000,20.000000,1048574
233,20,83,9232,1048574,True,0.756542,0.756542,0.000000,20.000000,1048574
234,20,21,352,1048574,True,0.516231,0.516231,0.000000,20.000000,1048574
235,20,127,9232,1048574,True,0.769007,0.769007,0.000000,20.000000,1048574
236,20,34,304,1048574,True,0.575970,0.575970,0.000000,20.000000,1048574
237,20,34,712,1048574,True,0.572865,0.572865,0.000000,20.000000,1048574
238,20,34,808,1048574,True,0.592132,0.592132,0.000000,20.000000,1048574
239,20,52,9232,1048574,True,0.691438,0.691438,0.000000,20.000000,1048574
240,20,21,240,1048574,True,0.543772,0.543772,0.000000,20.000000,1048574
241,20,21,724,1048574,True,0.508935,0.508935,0.000000,20.000000,1048574
242,20,96,9232,1048574,True,0.759724,0.759724,0.000000,20.000000,1048574
243,20,96,9232,1048574,True,0.757736,0.757736,0.000000,20.000000,1048574
244,20,21,244,1048574,True,0.555956,0.555956,0.000000,20.000000,1048574
245,20,21,736,1048574,True,0.551016,0.551016,0.000000,20.000000,1048574
246,20,47,628,1048574,True,0.633310,0.633310,0.000000,20.000000,1048574
247,20,47,1672,1048574,True,0.637729,0.637729,0.000000,20.000000,1048574
248,20,109,9232,1048574,True,0.760530,0.760530,0.000000,20.000000,1048574
249,20,47,952,1048574,True,0.659430,0.659430,0.000000,20.000000,1048574
250,20,109,9232,1048574,True,0.761803,0.761803,0.000000,20.000000,1048574
251,20,65,9232,1048574,True,0.736405,0.736405,0.000000,20.000000,1048574
252,20,109,9232,1048574,True,0.769921,0.769921,0.000000,20.000000,1048574
